Name,Symbol,Atomic Number,Atomic Mass,Electronegativity,Group,Class,Density
Hydrogen,H,1,1.007,2.2,1,Nonmetal,0.00008988
Helium,He,2,4.002,0,18,Noble Gas,0.0001785
Lithium,Li,3,6.941,0.98,1,Alkali Metal,0.534
Beryllium,Be,4,9.012,1.57,2,Alkaline Earth Metal,1.85
Boron,B,5,10.811,2.04,13,Metalloid,2.34
Carbon,C,6,12.011,2.55,14,Nonmetal,2.267
Nitrogen,N,7,14.007,3.04,15,Nonmetal,0.0012506
Oxygen,O,8,15.999,3.44,16,Nonmetal,0.001429
Fluorine,F,9,18.998,3.98,17,Halogen,0.001696
Neon,Ne,10,20.18,0,18,Noble Gas,0.0008999
Sodium,Na,11,22.99,0.93,1,Alkali Metal,0.971
Magnesium,Mg,12,24.305,1.31,2,Alkaline Earth Metal,1.738
Aluminum,Al,13,26.982,1.61,13,Metal,2.698
Silicon,Si,14,28.086,1.9,14,Metalloid,2.3296
Phosphorus,P,15,30.974,2.19,15,Nonmetal,1.82
Sulfur,S,16,32.065,2.58,16,Nonmetal,2.067
Chlorine,Cl,17,35.453,3.16,17,Halogen,0.003214
Argon,Ar,18,39.948,0,18,Noble Gas,0.0017837
Potassium,K,19,39.098,0.82,1,Alkali Metal,0.862
Calcium,Ca,20,40.078,1,2,Alkaline Earth Metal,1.54
Scandium,Sc,21,44.956,1.36,3,Transition Metal,2.989
Titanium,Ti,22,47.867,1.54,4,Transition Metal,4.54
Vanadium,V,23,50.942,1.63,5,Transition Metal,6.11
Chromium,Cr,24,51.996,1.66,6,Transition Metal,7.15
Manganese,Mn,25,54.938,1.55,7,Transition Metal,7.44
Iron,Fe,26,55.845,1.83,8,Transition Metal,7.874
Cobalt,Co,27,58.933,1.88,9,Transition Metal,8.86
Nickel,Ni,28,58.693,1.91,10,Transition Metal,8.912
Copper,Cu,29,63.546,1.9,11,Transition Metal,8.96
Zinc,Zn,30,65.38,1.65,12,Transition Metal,7.134
Gallium,Ga,31,69.723,1.81,13,Metal,5.907
Germanium,Ge,32,72.64,2.01,14,Metalloid,5.323
Arsenic,As,33,74.922,2.18,15,Metalloid,5.776
Selenium,Se,34,78.96,2.55,16,Nonmetal,4.809
Bromine,Br,35,79.904,2.96,17,Halogen,3.122
Krypton,Kr,36,83.798,3,18,Noble Gas,0.003733
Rubidium,Rb,37,85.468,0.82,1,Alkali Metal,1.532
